 ,OBJECTID,Verified_B,Latitude,Longitude,CLASS_OB_1,ACRES_1,SITENAME_1,COUNTY,DESIG,REGION,TRAIL,NATURALAREA,HUNTING,FISHING,PICNIC,WATERREC,Playgrounds,Sports Facilities,ADA Compliant,Waste Receptacles,Restroom Facilities,No Fee/Reservation Required,TOT SCORE,COMMENTS
yes,699,Jameela Rogers,39.2778251649,-76.8007095236,Trail 399,0.150000006,Governors Run Playground,Howard,COUNTY,CENTRAL,1,0,0,0,1,0,1,1,,0,0,0,4,"*Sports field is just an empty field, Added a 1 in Picnic"
yes,719,Jameela Rogers,39.2437271851,-76.8466537975,Natural Area 507,1.980000019,Centennial Park,Howard,COUNTY,CENTRAL,1,1,0,1,1,1,1,1,,1,1,1,10, 
yes,732,Jameela Rogers,39.1718546505,-76.7940888345,Natural Area 517,3.03986001,Cedar Villa Heights Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,?,1,,0,6,"Softball/baseball and multi-purpose fields are available by permit only. Tennis courts first come first serve. Tennis court, Full basketball court, 2 playgrounds, 3 picnic tables, One grill, Paved trail."
yes,733,Jameela Rogers,39.1504620607,-76.8944039837,Natural Area 514,3.217999935,Ganon-Bahl Property,Howard,COUNTY,CENTRAL,0,1,0,0,1,0,1,1,,,,0,4,Added 1 in picnic. Softball/baseball and multi-purpose fields are available by permit only. Tennis courts first come first serve.
yes,755,Jameela Rogers,39.1807798876,-76.8786866228,Natural Area 481,6.546000004,Holiday Hills Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,,,0,5,Softball/baseball and multi-purpose fields are available by permit only. Tennis courts first come first serve.
yes,771,Jameela Rogers,39.2064306881,-76.8818763880,Trail 362,9.998000145,Hawthorn Park,Howard,COUNTY,CENTRAL,1,0,0,0,0,0,1,1,,1,0,,4, 
yes,777,Jameela Rogers,39.2596070698,-76.8535938596,Natural Area 492,10.34500027,Gwynn Acres NRA,Howard,COUNTY,CENTRAL,1,1,0,0,0,0,0,0,,,,1,3, 
yes,783,Jameela Rogers,39.1615251910,-76.8472945202,Natural Area 479,11,Huntington Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,,,0,5,Added 1 in picnic. Softball/baseball and multi-purpose fields are available by permit only. Basketball courts first come first serve.
yes,785,Jameela Rogers,39.1551079457,-76.8217782173,Natural Area 480,11.25399971,Guilford Park,Howard,COUNTY,CENTRAL,1,1,0,1,1,0,1,1,,1,0,0,7,Added 1 in fishing. Softball/baseball and multi-purpose fields are available by permit only. Tennis courts first come first serve.
yes,791,Jameela Rogers,39.2921167543,-76.8072216782,Picnic 400,12.64999962,Howard County Center for the Arts/ Rockland Arts Center,Howard,COUNTY,CENTRAL,0,0,0,0,1,0,0,1,,1,,,3,Arts center/head syart program in a converted elementary school. Not sure if restrooms inside are available to the public
yes,813,Jameela Rogers,39.2035901987,-76.9371506388,Trail 385,19.62000084,Heritage Heights Park/Clarks Glen Playground,Howard,COUNTY,CENTRAL,1,0,0,0,0,0,1,0,,,,1,3, 
yes,845,Jameela Rogers,39.1458813863,-76.8832418501,Natural Area 504,43.17229843,Hammond Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,1,1,0,7,"4 tennis courts, a ball diamond, playground and picnic pavilion. Softball/baseball and multi-purpose fields are available by permit only. Tennis courts first come first serve."
yes,858,Jameela Rogers,39.1377938943,-76.9154015875,Natural Area 509,71.66670227,Fulton South Area Park,Howard,COUNTY,CENTRAL,0,1,0,0,0,0,0,0,0,0,0,1,2,"Undeveloped, grassy medow and forest"
yes,866,Jameela Rogers,39.1135837413,-76.8658692346,Natural Area 489,88.41059875,High Ridge Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,1,1,0,7,"Tennis court, basketball court, gazebo, picnic pavilion, playground, and one mile of pathway trails. Softball/baseball and multi-purpose fields are available by permit only. Tennis courts first come first serve."
yes,868,Jameela Rogers,39.2307220187,-76.8855253151,Natural Area 486,93.20619965,Cedar Lane Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,1,1,,7,"8-mile paved pathway, 2 lighted synthetic turf fields, 4 lighted ball diamonds, Playgrounds, Volleyball courts, Bocce courts, Pavilions, 2 natural grass multi-purpose fields,  Basketball courts, 4 tennis courts, Horseshoe pits, Restrooms. Softball/baseball and multi-purpose fields are available by permit only. Tennis courts first come first serve except during tournaments"
yes,885,Jameela Rogers,39.1586918102,-76.8618726604,Fishing 188,227.7039948,Gorman Stream Valley Park NRA,Howard,COUNTY,CENTRAL,1,1,1,1,0,0,0,0,0,0,0,1,5, 
yes,966,Jewel Aleshire,39.3344917585,-77.0690192662,Picnic 388,9.25,Lisbon Park,Howard,COUNTY,CENTRAL,1,0,0,0,1,0,1,1,,1,0,1,6, 
yes,1023,Jewel Aleshire,39.2868556818,-76.9158706164,Natural Area 482,40.50999832,Manor Woods Park,Howard,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,,1,0,1,4, 
yes,1038,Jewel Aleshire,39.1876782517,-76.8723292207,Picnic 396,6.011899948,Martin Road Park,Howard,COUNTY,CENTRAL,1,0,0,0,1,0,1,1,,1,1,1,7, 
yes,1079,Jewel Aleshire,39.2463193773,-76.8216699741,Natural Area 508,84.15200043,Meadowbrook Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,1,1,1,8, 
yes,1090,Jewel Aleshire,39.2128173775,-76.9097750754,Fishing 180,1021.030029,Middle Patuxent Environmental Area,Howard,COUNTY,CENTRAL,1,1,1,1,0,0,0,0,,,,1,5, 
yes,1222,Jewel Aleshire,39.1426663291,-76.8341900753,Fishing 189,263.6430054,Wincopin Trails/Murray Hill Stream Valley,Howard,COUNTY,CENTRAL,1,1,0,1,0,0,0,0,0,,1,1,5, 
yes,1242,Jewel Aleshire,39.3174139727,-76.8799768314,Natural Area 484,45.13000107,Howard County Conservancy,Howard,COUNTY,CENTRAL,0,1,0,0,0,0,0,0,,1,1,1,4, 
yes,1243,Jewel Aleshire,39.2479449360,-76.7970780984,Trail 365,83.77999878,Worthington Dog Park,Howard,COUNTY,CENTRAL,1,0,0,0,0,0,0,0,,,,1,2, 
yes,1276,Samuel Bara-Garcia,39.2707986352,-76.7970721142,Picnic 395,9.829000473,Patapsco Female Institute,Howard,COUNTY,CENTRAL,1,0,0,0,1,0,0,0,,1,,0,3, 
yes,1324,Samuel Bara-Garcia,39.1668954754,-76.7977404148,Trail 386,0.05538000166,Pleasant Chase Playground,Howard,COUNTY,CENTRAL,1,0,0,0,0,0,1,0,,,0,1,3, 
yes,1342,Samuel Bara-Garcia,39.3450638581,-77.0971041252,Natural Area 506,7.065000057,Poplar Springs Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,0,0,,,,1,4, 
yes,1357,Samuel Bara-Garcia,39.1655485718,-76.8408235280,Trail 401,0.4199999869,Bollman Iron Truss Bridge,Howard,COUNTY,CENTRAL,1,0,0,0,0,0,0,0,,0,0,1,2, 
yes,1358,Samuel Bara-Garcia,39.1648981826,-76.8389111839,Natural Area 498,2.789999962,Pratt Truss Bridge/Murray Hill Stream Valley,Howard,COUNTY,CENTRAL,0,1,0,0,0,0,0,0,,0,0,1,2,bridge in a stream valley park
yes,1427,Samuel Bara-Garcia,39.1901502198,-76.8947454917,Fishing 185,18.39699936,Robinson Nature Center,Howard,COUNTY,CENTRAL,1,1,0,1,1,0,0,0,,,,0,4,
yes,1438,Samuel Bara-Garcia,39.2182365895,-76.7632298320,Fishing 183,415.0769959,Rockburn Branch Park,Howard,COUNTY,CENTRAL,1,1,0,1,1,0,1,1,,,,,6, 
yes,1458,Samuel Bara-Garcia,39.2107606558,-76.8546029699,Trail 384,0.4021799862,Rt. 29 Pedestrian Bridge,Howard,COUNTY,CENTRAL,1,0,0,0,0,0,0,0,0,0,0,1,2,it's a bridge (does this count as a greenspace?)
yes,1495,Samuel Bara-Garcia,39.1235035797,-76.8603821332,Trail 389,0.125,Wyndermere Playground,Howard,COUNTY,CENTRAL,1,0,0,0,0,0,1,0,,0,0,1,3,
yes,1523,Samuel Bara-Garcia,39.1395970966,-76.8302196537,Natural Area 478,87.47000122,Savage Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,,1,,6, 
yes,1531,Samuel Bara-Garcia,39.1645583503,-76.9590325594,Natural Area 502,192.0720062,Schooley Mill Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,,,?,5,Softball/baseball and multi-purpose fields are available by permit only/tennis courts are first come first serve basis
yes,1651,Jan-Michael Archer,39.2674284464,-76.7956866019,Trail 382,0.08200000227,Tiber Park,Howard,COUNTY,CENTRAL,1,0,0,0,0,0,0,0,,,0,1,2, 
yes,1730,Jan-Michael Archer,39.3628845279,-76.9695391202,Fishing 186,10.49300003,South Branch Park,Howard,COUNTY,CENTRAL,1,1,0,1,1,0,1,,,,,1,6,ada parking lot
yes,1744,Jan-Michael Archer,39.2886260684,-76.8122162132,Natural Area 497,12.97200012,Town and Country Park,Howard,COUNTY,CENTRAL,0,1,0,0,0,0,0,0,0,,,1,2, 
yes,1776,Jan-Michael Archer,39.2755645872,-77.0201289927,Fishing 182,19.85000038,Warfields Pond Park,Howard,COUNTY,CENTRAL,1,1,0,1,1,0,1,1,,,,?,6,Softball/baseball and multi-purpose fields are available by permit only/tennis courts are first come first serve basis
yes,1784,Jan-Michael Archer,39.1831260314,-76.7850763033,Natural Area 491,21.62000084,Waterloo Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,,,?,5,Softball/baseball and multi-purpose fields are available by permit only/tennis courts are first come first serve basis
yes,1792,Jan-Michael Archer,39.2724679258,-76.8605886889,Fishing 184,26.18600082,Font Hill Park,Howard,COUNTY,CENTRAL,1,1,0,1,1,0,0,1,,,,?,5,Softball/baseball and multi-purpose fields are available by permit only/tennis courts are first come first serve basis
yes,1835,Jan-Michael Archer,39.1945698707,-76.7590960752,Natural Area 510,100.947998,Troy Park (Troy Park at Elkridge),Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,,,?,5,Softball/baseball and multi-purpose fields are available by permit only/tennis courts are first come first serve basis
yes,1844,Jan-Michael Archer,39.3065752644,-77.0297666446,Natural Area 488,189.6529999,Western Regional Park,Howard,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,1,1,1,8, 
yes,1845,Jan-Michael Archer,39.2046049666,-76.7683124208,Natural Area 513,201.9759979,Timbers At Troy Golf Course,Howard,COUNTY,CENTRAL,1,1,0,0,0,0,0,1,,1,1,0,5,golf course 
yes,1855,Jan-Michael Archer,39.2965895271,-76.9694732532,Natural Area 487,350.6789856,West Friendship Park,Howard,COUNTY,CENTRAL,1,1,0,0,0,0,1,0,,1,1,1,6, 
,5,Menna Kassa,39.1235376660,-76.2432005903,Fishing 68,0,Allen's Lane,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,1,4, 
,21,Menna Kassa,39.1344233420,-76.2483328019,Fishing 84,0,Bayside Landing Park,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,1,1,1,,6, 
,29,Menna Kassa,39.3712982255,-76.0627743763,Fishing 60,0,Betterton,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,,0,0,1,4,Beach
,30,Menna Kassa,39.3706034347,-76.0629809347,Fishing 12,0,Betterton Beach Park,Kent,COUNTY,EASTERN,0,1,1,1,1,0,0,0,0,0,0,1,5,Street intersection 20 ft away from ^^^
,32,Menna Kassa,39.2653302941,-75.8256920555,Fishing 372,0,BIG MILL POND FMA,Kent,FMA,EASTERN,0,1,0,1,0,1,0,0,0,0,0,1,4,Forest
,36,Menna Kassa,39.0327086616,-76.2099511790,Fishing 85,0,Bogles,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,1,0,0,1,5,Bring your own boat
,45,Menna Kassa,39.2727014359,-76.1689166516,Fishing 61,0,Buck Neck,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,,,,,3, 
,46,Menna Kassa,39.2380629996,-76.0147285930,Fishing 75,0,Buckingham Wharf,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,,0,0,,3,Bring your own boat
,56,Menna Kassa,39.2517240677,-75.8809637436,Fishing 83,0,Shadding Reach,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,1,,0,,4,Bring your own boat
,60,Menna Kassa,39.3649995657,-75.9390795071,Fishing 57,0,Shallcross Wharf Road,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,,3,Private property?
,63,Menna Kassa,39.1331280468,-76.2437698092,Fishing 66,0,Sharp Street,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,1,1,1,,6,Dock
,65,Menna Kassa,39.1627823852,-76.1896804713,Fishing 69,0,Shipyard,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,1,4,Bring your own boat
,66,Menna Kassa,39.1103019429,-76.2115219750,Fishing 80,0,Skinners Neck,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,,3, 
,322,Coline Bodenreider,39.1075370740,-76.1424475239,Fishing 70,0,Cliff City,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,1,4,Bring your own boat
,358,Coline Bodenreider,39.2488678328,-76.1971879063,Natural Area 207,0,Fairlee,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,,3, 
,393,Coline Bodenreider,39.3502042878,-76.1195020247,Natural Area 1055,0.83,KENT STILL POND MARINE POLICE RADIO TOWER,Kent,MCF,EASTERN,0,1,0,0,0,0,0,0,0,0,0,,1,This is a radio tower. Why is this even here?
,634,Jameela Rogers,39.3427625032,-75.8817922916,Picnic 93,0,Galena Community Park,Kent,COUNTY,EASTERN,1,0,0,0,1,0,1,0,1,,0,1,5, 
,637,Jameela Rogers,39.2174028095,-76.0802302734,Picnic 94,0,Gateway Park,Kent,COUNTY,EASTERN,1,0,0,0,1,0,0,1,1,,0,1,5,Just a basketball court
,644,Jameela Rogers,39.3290984260,-75.7768695943,Natural Area 1086,0,GOLTS PONDS HCF,Kent,HCF,EASTERN,1,1,0,0,0,0,0,0,0,0,0,,2,Forest
,646,Jameela Rogers,39.1409882443,-76.2607025594,Fishing 65,0,Gratitude,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,,3,Dock
,652,Jameela Rogers,39.1307918035,-76.2429744313,Fishing 67,0,Green Lane,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,,3,Dock
,653,Jameela Rogers,39.2824778840,-76.1677152108,Fishing 77,0,Green Point,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,,3,Dock
,663,Jameela Rogers,39.1428188636,-76.2457560909,Fishing 64,0,Haven,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,1,4, 
,668,Jameela Rogers,39.1153980924,-76.2069089354,Fishing 81,0,Herringtown,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,,,,3,Private property?
,670,Jameela Rogers,39.2068179649,-76.0630774117,Fishing 72,0,High Street,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,1,1,0,1,6, 
,696,Jameela Rogers,39.3740877465,-75.8295426848,Fishing 58,0,Fox Hole,Kent,COUNTY,EASTERN,0,1,1,1,0,0,,,,,,,3,Trees covering
,924,Jameela Rogers,39.1173095392,-76.2255422814,Fishing 79,0,Gray's Inn,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,1,4,Bring your own boat
,992,Jewel Aleshire,39.1093982172,-76.1874856161,Fishing 82,0,Long Cove,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,1,1,0,,5,Familiar
,1047,Jewel Aleshire,39.2992382231,-75.7944506008,Hunting 128,131,MASSEY POND HCF,Kent,HCF,EASTERN,1,1,1,0,0,0,0,0,0,0,0,,3,Next to plane hangar
,1101,Jewel Aleshire,39.3211653602,-75.7823428960,Natural Area 1137,3943,MILLINGTON WMA,Kent,WMA,EASTERN,0,1,0,0,0,0,0,0,0,0,0,1,2,Forest
,1113,Jewel Aleshire,39.2358696678,-76.0362610035,Fishing 73,0,Morgnec,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,1,4, 
,1217,Jewel Aleshire,39.2047942938,-76.0663255549,Fishing 15,0,Wilmer Park/Lydia Hynson Boat Pavilion,Kent,COUNTY,EASTERN,1,1,1,1,1,0,0,0,1,1,0,1,8, 
,1245,Jewel Aleshire,39.2782247700,-76.0937005661,Picnic 90,0,Worton Park,Kent,COUNTY,EASTERN,1,0,0,0,1,0,0,0,1,1,1,,5,Park and recreation department
,1376,Samuel Bara-Garcia,39.1300347519,-76.0965499031,Fishing 71,0,Quaker Neck,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,,3,Dock
,1405,Samuel Bara-Garcia,39.2560453940,-76.0411693684,Fishing 74,0,Riley's Mill,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,,3,Private property?
,1522,Samuel Bara-Garcia,39.3606649697,-75.9982961032,Fishing 360,1008,SASSAFRASS NRMA,Kent,NRMA,EASTERN,1,1,1,1,0,1,0,0,0,0,0,1,6, 
,1555,Jan-Michael Archer,39.1484383057,-76.2448779679,Fishing 63,0,Spring Cove,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,,3, 
,1569,Jan-Michael Archer,39.3189477666,-76.0850293652,Fishing 76,0,Still Pond,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,1,4, 
,1570,Jan-Michael Archer,39.3355736412,-76.1311679784,Fishing 11,0,Still Pond Station Park,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,0,0,,3, 
,1590,Jan-Michael Archer,39.3534944329,-75.8772080701,Fishing 13,0,Toal Park,Kent,COUNTY,EASTERN,1,1,1,1,1,0,1,1,0,,1,1,9, 
,1591,Jan-Michael Archer,39.2152131558,-76.2439947903,Fishing 62,0,Tolchester,Kent,COUNTY,EASTERN,0,1,1,1,0,0,0,0,0,1,,,4, 
,1597,Jan-Michael Archer,39.3575201912,-75.9827041866,Fishing 59,0,Turner's Creek,Kent,COUNTY,EASTERN,0,1,1,1,1,0,0,0,0,0,,,4, 
,1598,Jan-Michael Archer,39.3519814513,-75.9867733973,Fishing 14,0,Turners Creek Park,Kent,COUNTY,EASTERN,1,1,1,1,1,0,0,0,0,0,0,,5,Has museum
,1605,Jan-Michael Archer,39.2815889364,-76.0238341801,Fishing 373,0,URIEVILLE LAKE FMA,Kent,FMA,EASTERN,0,1,0,1,1,1,0,0,0,0,0,1,5,Fish Management Area
,1635,Jan-Michael Archer,39.1372795472,-76.2567003148,Natural Area 128,0,Ferry Park,Kent,COUNTY,EASTERN,0,1,0,0,0,0,0,0,0,0,0,1,2,Mini beach
yes,344,Coline Bodenreider,39.0580650542,-77.3040345153,Natural Area 1163,0,DIERRSEN WMA,Montgomery,WMA,CENTRAL,1,1,0,0,0,0,0,0,0,,,1,3, 
yes,883,Jameela Rogers,39.2657503708,-77.5312630758,Natural Area 1169,223,HEATERS ISLANDS WMA,Montgomery,WMA,CENTRAL,1,1,0,1,0,1,0,0,0,,,1,5, 
yes,1053,Jewel Aleshire,39.0657412807,-77.0862987011,Natural Area 1006,100,MATTHEW HENSON SP,Montgomery,SP,CENTRAL,1,1,0,0,0,0,0,0,,,,1,3, 
yes,1072,Jewel Aleshire,39.0769987523,-77.3967272721,Natural Area 1135,1971,MCKEE BESHERS WMA,Montgomery,WMA,CENTRAL,1,1,1,0,0,0,0,0,0,,0,1,4,sunflower fields
yes,1173,Jewel Aleshire,39.1225220591,-77.3049807213,Fishing 317,6313,SENECA CREEK SP,Montgomery,SP,CENTRAL,1,1,1,1,1,1,1,1,,,1,0,9, 
yes,1574,Jan-Michael Archer,39.1535568167,-77.2594109571,Natural Area 1158,0,STRIDER WMA,Montgomery,WMA,CENTRAL,1,1,1,0,0,0,0,0,,,,,3,archery hunting only
yes,71,Menna Kassa,38.9896601642,-77.0290596875,Trail 590,0.1247060001,Acorn Urban Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,0,0,0,0,,0,0,1,2,silver spring historical site
yes,72,Menna Kassa,39.0109605124,-77.0509814287,Natural Area 650,0.1369750053,Birch Drive NCA,Montgomery,COUNTY,CENTRAL,0,1,0,0,0,0,0,0,0,0,0,1,2,just a field that could maybe be used for sports
yes,81,Menna Kassa,39.1366767516,-77.1675979307,Natural Area 677,0.6720070243,Amity Drive Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,,,1,6, 
yes,82,Menna Kassa,38.8907950000,-76.7939730000,Natural Area 532,0.7755230069,Old Maryland Farm,Montgomery,COUNTY,CENTRAL,1,1,0,0,0,0,0,1,,1,1,1,6,"free farm for kids to see animals, mini train and mini golf"
yes,87,Menna Kassa,38.9556455728,-77.0927918836,Natural Area 615,1.13004005,Boundary Park NCA,Montgomery,COUNTY,CENTRAL,1,1,0,0,0,0,0,0,,1,0,1,4,a field that could maybe be used for sports
yes,89,Menna Kassa,39.0002278024,-77.0115845364,Trail 664,1.256340027,Sligo Cabin Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,1,0,0,0,0,1,1,,1,0,1,6, 
yes,90,Menna Kassa,38.9823699456,-76.9918390068,Picnic 540,1.282459974,Becca Lilly Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,1,0,1,0,,0,0,1,4, 
yes,92,Menna Kassa,38.9805615406,-76.9951541389,Picnic 515,1.610800028,Sligo Creek North Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,1,0,1,1,,1,1,1,7, 
yes,93,Menna Kassa,38.9439412762,-77.1198895509,Natural Area 699,1.789399982,Brookmont Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,,,1,6, 
yes,94,Menna Kassa,38.9918418932,-77.1003282699,Trail 635,1.962170005,Battery Lane Urban Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,0,0,1,1,,1,,1,5, 
yes,98,Menna Kassa,38.9814245369,-77.0046001299,Picnic 551,2.275949955,Opal A. Daniels Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,1,0,1,0,,1,0,1,5, 
yes,99,Menna Kassa,39.1497661188,-77.0914275452,Natural Area 664,2.338180065,Olney Acres Neighborhood Park,Montgomery,COUNTY,CENTRAL,0,1,0,0,1,0,1,1,,,,1,5, 
yes,101,Menna Kassa,39.0780256606,-77.0982651809,Natural Area 640,2.426239967,Arctic NCA,Montgomery,COUNTY,CENTRAL,1,1,0,0,0,0,0,0,,,,1,3, 
yes,102,Menna Kassa,39.0302700676,-77.0048761216,Trail 658,2.636729956,Burnt Mills East Special Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,1,0,0,0,,,,1,3,rock climbing
yes,103,Menna Kassa,39.0307292442,-77.0059999590,Trail 639,2.741100073,Burnt Mills West Special Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,0,0,0,0,,,,1,2, 
yes,106,Menna Kassa,38.9606367682,-77.0916365032,Trail 630,2.977600098,Brookdale Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,1,0,1,1,,1,,1,6, 
yes,111,Menna Kassa,38.9994715122,-77.1166902650,Picnic 435,3.367229939,Bradley Local Park,Montgomery,COUNTY,CENTRAL,0,0,0,0,1,0,1,1,,,,1,4,community garden
yes,114,Menna Kassa,39.0814816585,-77.0690672436,Natural Area 658,3.561840057,Beret NCA,Montgomery,COUNTY,CENTRAL,1,1,0,0,0,0,0,0,,0,0,1,3, 
yes,115,Menna Kassa,38.9867060022,-77.0204421226,Trail 631,3.624330044,Silver Spring Intermediate Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,0,0,1,1,,1,1,1,6, 
yes,116,Menna Kassa,39.0188391501,-76.9860397541,Natural Area 569,3.638930082,Brookview Local Park,Montgomery,COUNTY,CENTRAL,1,1,0,0,0,0,1,1,,,,1,5, 
yes,117,Menna Kassa,39.0845179837,-77.3257135909,Natural Area 596,3.826960087,Berryville Road NCA,Montgomery,COUNTY,CENTRAL,0,1,0,0,0,0,0,0,,0,0,1,2, 
yes,122,Menna Kassa,38.9905792778,-77.0115876501,Picnic 553,4.147799969,Sligo Avenue Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,1,0,1,1,,1,1,1,7, 
yes,124,Menna Kassa,38.9949157887,-77.0196280123,Trail 496,4.328310013,Bullis Local Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,0,0,1,1,,1,1,1,6, 
yes,128,Menna Kassa,39.0021566231,-77.1378455940,Natural Area 618,4.898769856,Bradley Hills NCA,Montgomery,COUNTY,CENTRAL,0,1,0,0,0,0,0,0,0,0,0,1,2, 
yes,130,Menna Kassa,39.0350631871,-77.0268426764,Trail 606,4.976669788,Breewood Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,0,0,0,0,0,0,0,1,2, 
yes,138,Menna Kassa,38.9734401143,-77.1505010656,Picnic 428,5.566279888,Cabin John Local Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,1,0,1,1,,1,1,1,7, 
yes,139,Menna Kassa,39.0775975750,-77.0167298413,Natural Area 675,5.566770077,Sherwood Forest Manor Neighborhood Park,Montgomery,COUNTY,CENTRAL,0,1,0,0,0,0,0,0,0,0,0,1,2, 
yes,140,Menna Kassa,39.0443578152,-77.0394590445,Natural Area 656,5.805500031,Arcola LP,Montgomery,COUNTY,CENTRAL,1,1,0,0,0,0,1,1,,,,1,5, 
yes,141,Menna Kassa,39.0055968932,-77.0175259259,Picnic 532,6.107339859,Sligo-Bennington Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,1,0,1,1,,1,,1,6, 
yes,142,Menna Kassa,38.9702664669,-77.0006916290,Natural Area 625,6.494890213,Sligo Mill Overlook Community Garden,Montgomery,COUNTY,CENTRAL,0,1,0,0,0,0,1,0,,1,0,1,4,community garden
yes,143,Menna Kassa,39.1778295528,-77.0760849891,Picnic 523,6.501649857,Olney Mill Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,1,0,1,1,,1,1,1,7, 
yes,145,Menna Kassa,39.0257981638,-77.0299781380,Picnic 561,6.751729965,Sligo-Dennis Avenue Local Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,1,0,1,1,,1,,1,6, Activity building available for rent
yes,146,Menna Kassa,39.0756722217,-77.0202697701,Natural Area 530,6.965410233,Sherwood Forest NCA,Montgomery,COUNTY,CENTRAL,1,1,0,0,0,0,0,0,0,0,0,1,3, 
yes,150,Menna Kassa,39.0434273258,-77.2059837599,Trail 603,7.672560215,Bedfordshire Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,0,0,1,1,,,,1,4, 
yes,152,Menna Kassa,39.0815525309,-77.0532500689,Trail 614,8.213199615,Bel Pre Neighborhood Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,0,0,0,0,,,,1,2,just a park with trails
yes,153,Menna Kassa,39.0946547234,-77.1077943005,Trail 493,8.454529762,Bauer Drive Local Park,Montgomery,COUNTY,CENTRAL,1,0,0,0,0,0,1,1,,1,,1,5, 
yes,154,Menna Kassa,39.0529755305,-77.1763114333,Natural Area 587,8.484629631,Beverly Farms Local Park,Montgomery,COUNTY,CENTRAL,0,1,0,0,1,0,1,1,,1,,1,6, 
yes,156,Menna Kassa,39.0175105056,-77.0287094620,Natural Area 667,8.792770386,Argyle Local Park,Montgomery,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,1,1,1,8,recreation building available for rent
